Id,Seri,Model,Ilan Basligi,Yil,KM,Renk,Ilan Tarihi,Il / Ilce,Fiyat
1092,Micra,1.2 Tekna,BAYANDAN TERTEM?Z M?CRA 58 B?NDE,2008,58,Gri,"15 Ocak
                        2020",?stanbul�mraniye,58.000 TL
1093,Astra,1.3 CDTI Edition,�?retmen'den Hasars?z OPEL ASTRA 2012-D?ZEL,2012,99,Siyah,"21 Ocak
                        2020",MardinK?z?ltepe,80 TL
1094,Rio,1.4 CRDi Fancy,Lokal boya dahi yok...!,2013,120,K?rm?z?,"15 Ocak
                        2020",ManisaTurgutlu,76.500 TL
1095,Albea,1.2 EL,YAL�IN OTOMOT?VDEN TEM?Z 1.2 EL,2004,220,Beyaz,"21 Ocak
                        2020",BoluMengen,27.500 TL
1096,Primera,1.6 Special,nissan piremera 1.6 degisensiz boyasiz,1999,400,Bordo,"20 Ocak
                        2020",?stanbulArnavutk�y,32.500 TL
1097,323,1.6 GLX,MAZDACI ?SMA?L'DEN *ORJ?NAL 141.000*KM'DE BAKIMLI-MASRAFSIZ 323,1993,141,Beyaz,"15 Ocak
                        2020",K�tahyaTav?anl?,27.500 TL
1098,Getz,1.5 CRDi VGT,B� AUTODAN SATILIK GETZ,2005,210,G�m�? Gri,"21 Ocak
                        2020",KarsMerkez,33.999 TL
1099,Civic,1.6 VTEC ES,VNC Sat??ta ORJ. 141 Km,2004,142,Beyaz,"22 Ocak
                        2020",Nev?ehirAvanos,45.000 TL
1100,i20,1.2 MPI Style,Sat?l?k Sahibinden HYUNDA? ?20,2015,32,Beyaz,"21 Ocak
                        2020",BursaMudanya,78.750 TL
1101,Civic,1.6i VTEC Dream,BEYAZ OTOMOT?V 2008 HONDA C?V?C 1.6? VTEC DREAM OTOMAT?K,2008,276,Siyah,"20 Ocak
                        2020",DenizliMerkezefendi,64.750 TL
1102,E Serisi,E 320 Elegance,CANLI GARAJDAN 1997 E 320 ELEGANCE EN TEM?Z? EN DOLUSU SIFIR MOT,1997,429.888,G�m�? Gri,"22 Ocak
                        2020",AnkaraAkyurt,57.500 TL
1103,CLA,200 AMG,�NSAL K�SE BEYDEN KAPORA ALINMI?TIR,2013,146,Beyaz,"22 Ocak
                        2020",?stanbul�mraniye,165.500 TL
1104,A4,A4 Sedan 1.6,TEM?Z BAKIMLI,2004,194,G�m�? Gri,"21 Ocak
                        2020",�anakkaleGelibolu,61.000 TL
1105,Getz,1.5 CRDi VGT,Hyundai Getz,2008,240,Siyah,"22 Ocak
                        2020",TrabzonOrtahisar,42.000 TL
1106,Civic,1.6i VTEC Eco Executive,TAMAM?YLE FABR?KASYON...ALANA HAYIRLI OLSUN....,2018,50,F�me,"20 Ocak
                        2020",AksarayMerkez,173.000 TL
1107,5 Serisi,525d xDrive  Premium,bak?ml? �ok temiz orjinal,2014,235,Siyah,"21 Ocak
                        2020",?zmirKar??yaka,229.000 TL
1108,3 Serisi,320i,G�ZLER S?Z?N �ZER?N?ZDE OLUCAK 320? E36,1996,290,Ye?il,"22 Ocak
                        2020",?zmirKar??yaka,45.000 TL
1109,B Serisi,B 150 Boyut,MERCEDES B-150 OTOMAT?K V?TES + CAM TAVAN HATASIZ BOYASIZ 85KM,2009,85,Siyah,"21 Ocak
                        2020",Ankara�ankaya,89.500 TL
1110,Cerato,1.5 CRDi LX,Kia Cerato acelesi yok,2006,175,Beyaz,"15 Ocak
                        2020",AfyonkarahisarMerkez,52.000 TL
1111,C3,1.4 HDi SX,SAH?B?N.DEN SATILIK 2004 MODEL C?TROEN C3 1.4 HD? SX 90 HP D?ZEL,2004,219,G�m�? Gri,"21 Ocak
                        2020",Gaziantep?ehitkamil,29.750 TL
1112,C Serisi,C 180 AMG 7G-Tronic,SAH?B?NDEN TERTEM?Z GER�EK DOLU �ZEL S?PAR?? AMG,2015,91.5,Gri,"21 Ocak
                        2020",Ankara�ankaya,305.000 TL
1113,Micra,1.2 Street,-U?UR MOTORS- 2016 - MICRA -OTOMAT?K - 30.B?N KM DE,2016,30,Beyaz,"16 Ocak
                        2020",KonyaKaratay,82.500 TL
1114,Rio,1.25 CVVT Comfort,TERTEM?Z SORUNSUZ YAKIT C?MR?S? A?LE ARACI,2016,78,K?rm?z?,"17 Ocak
                        2020",AntalyaKepez,72.000 TL
1115,Jazz,1.4 Sport,d�?�k km li bak?ml? honda,2006,108,Siyah,"22 Ocak
                        2020",?zmirMenderes,44.500 TL
1116,Egea,1.3 Multijet Easy Plus,RK MOTORS TAN HATASIZ 1.3 MULT?JET EGEA,2017,93,Beyaz,"21 Ocak
                        2020",AntalyaManavgat,81.500 TL
1117,C-Elys�e,1.6 HDi  Live,Boyas?z De?i?ensin 69000 km (KAYSER?YE OPS?YONLANMI?TIR),2017,69,Beyaz,"21 Ocak
                        2020",Mu?laBodrum,63.700 TL
1118,C5,1.6 HDi Dynamique,AC?L-TAKASL�I-FULL-2012 CITRO�N C5 1.6 HD? DYNAM?QUE-MASRAFSIZ,2012,141,Beyaz,"19 Ocak
                        2020",Diyarbak?rBa?lar,78.000 TL
1119,C3,1.4 HDi SX,memurdan temiz,2005,177,K?rm?z?,"20 Ocak
                        2020",VanEdremit,33.000 TL
1120,Insignia,2.0 CDTI Edition,2011insikna,2011,180,Bej,"20 Ocak
                        2020",IspartaMerkez,86.000 TL
1121,300,300 CE 24,"HATASIZ , FUL PAKET , COUPE 300 CE 24",1991,17,Siyah,"21 Ocak
                        2020",KocaeliGebze,70.300 TL
1122,626,2,G�ZDE OTOMOT?V DEN MAZDA 626 FULLL PAKET YEN? MAYENE L?,2001,260,Mavi,"20 Ocak
                        2020",GiresunEspiye,35.700 TL
1123,Astra,1.3 CDTI Enjoy Plus,ORJ?NAL 2012 OPEL ASTRA,2012,171,F�me,"21 Ocak
                        2020",BursaOsmangazi,67.000 TL
1124,Punto,Grande 1.3 Multijet Active,fiat punto 2006 model,2006,225,Mavi,"21 Ocak
                        2020",?stanbulBa?ak?ehir,32.500 TL
1125,Civic,1.6i VTEC Eco Elegance,2013 MODEL ECO ELEGANCE PAKET HONDA C?V?C,2013,164,Beyaz,"21 Ocak
                        2020",?zmirKaraba?lar,80.000 TL
1126,Mustang,4,MLHMOTORS MUSTANG V6,2005,72,Gri,"18 Ocak
                        2020",D�zceAk�akoca,225.000 TL
1127,Albea,1.3 Multijet Active,TAKS? DE??L TEM?Z ALBEA,2008,360,Gri,"21 Ocak
                        2020",Tekirda?�orlu,29.750 TL
1128,626,2,Temiz ve Bak?ml? 2001 Mazda 626,2001,302,Gri,"01 Ocak
                        2020",Kahramanmara?Oniki?ubat,32.900 TL
1129,Accent,1.3 LX,188.200 KM DEGISENSIZ MILENYUM,2001,188.2,Beyaz,"21 Ocak
                        2020",IspartaMerkez,28.750 TL
1130,Punto,1.4 Pop S&S,Bu km de T�rkiye de tek!,2013,30,Beyaz,"22 Ocak
                        2020",Karab�kEskipazar,65.000 TL
1131,Astra,1.6 CDTI Dynamic,NESKAR N?L�FER 2019 OPEL ASTRA HB 1.6 D?ZEL DYNAMIC OTOMAT?K SR,2019,2,K?rm?z?,"21 Ocak
                        2020",BursaNil�fer,177.000 TL
1132,C3,1.6 VTi Confort,KOCABAY'dan 2010 C?TROEN C3 1.6 VTI CONFORT OTOMAT?K 76.000 KM,2010,76,Siyah,"20 Ocak
                        2020",DenizliPamukkale,63.900 TL
1133,Corsa,1.2 Twinport Essentia,SAH?B?NDEN HATASIZ BOYASIZ,2014,108,Beyaz,"22 Ocak
                        2020",?stanbulBa?c?lar,61.500 TL
1134,A6,A6 Sedan 2.0 TDI,SAH?B?NDEN �OK TEM?Z 2012 MODEL AUD? A6 2.0 TD? BAYi,2012,187,Beyaz,"20 Ocak
                        2020",AfyonkarahisarMerkez,189.000 TL
1135,Focus,1.6 TDCi Trend,Acil sat?l?k,2006,182,G�m�? Gri,"21 Ocak
                        2020",ManisaYunusemre,47.500 TL
1136,S Serisi,S 320 320,!!! EMSALS?ZZ TEM?ZL?KTE FULL+FULL W140 S320 Mercedes Benz,1996,345,F�me,"21 Ocak
                        2020",AnkaraKe�i�ren,64.000 TL
1137,Civic,1.6i VTEC Elegance,2013 CAPT?VA takasl?,2011,128,Siyah,"21 Ocak
                        2020",Ayd?nEfeler,72.000 TL
1138,E Serisi,E 220 CDI Avantgarde,NA?AL OTOMOT?V'DEN MERCEDES E220 CD? AVANTGARDE,2010,287,Siyah,"20 Ocak
                        2020",KonyaKaratay,136.000 TL
1139,Primera,1.6 SLX,Sorunsuz Nissan Primera,1997,254,Ye?il,"17 Ocak
                        2020",BoluMerkez,29.000 TL
1140,A3,A3 Sportback 1.6 TDI,2019 MODEL HATASIZ 11.000 KMDE SPORT CAM TAVAN AUD? A3,2019,11,Gri,"21 Ocak
                        2020",TrabzonOrtahisar,248.500 TL
1141,6,2.0 TE,Mazda 6 tam otomatik,2004,340,G�m�? Gri,"14 Ocak
                        2020",AnkaraEtimesgut,45.000 TL
1142,C-Elys�e,1.6 HDi  Exclusive,2016 MODEL CITROEN C-ELYSEE 1.6 HD? 92BG EXCLUS?VE HATASIZ,2016,36,Beyaz,"20 Ocak
                        2020",Gaziantep?ehitkamil,73.900 TL
1143,Rio,1.5 Comfort,1250 TL TAKS?TLE MASRAFSIZ KIA R?O 1.5 BENZ?N/LPG MASRAFSIZ,2005,220,Siyah,"17 Ocak
                        2020",AntalyaKumluca,29.500 TL
1144,RX,RX-7,Mazda rx7 fc 2.0i coupe 1990 Model android 8.0 multimedya,1990,190,K?rm?z?,"18 Ocak
                        2020",?stanbulBak?rk�y,85.000 TL
1145,Almera,1.5 Tekna,Temiz Aile Araci,2005,230,Gri,"17 Ocak
                        2020",KonyaSel�uklu,37.000 TL
1146,C4,1.6 VTi Confort,BAYAN MEMURDAN,2012,114,Siyah,"18 Ocak
                        2020",?stanbulPendik,83.000 TL
1147,Civic,1.6i VTEC Eco Elegance,2015 eco elegance,2015,124.7,Beyaz,"20 Ocak
                        2020",?zmir�i?li,93.000 TL
1148,C-Elys�e,1.6 HDi  Attraction,Aile arac? 75 binde,2014,75.5,Beyaz,"20 Ocak
                        2020",KocaeliDerince,60.000 TL
1149,3 Serisi,320d xDrive Techno Plus,Sorunsuz temiz,2014,112,Beyaz,"22 Ocak
                        2020",?stanbulEsenler,229.500 TL
1150,C3,1.4 HDi X Furio,FIAT BAY?S? KARTA? A.?'DEN 2010 CITROEN C3 1.4 HD? FUR?O + KL?MA,2010,180.84,Beyaz,"20 Ocak
                        2020",Ankara�ankaya,40.000 TL
1151,Vectra,2.0 GLS,K?rm?z? Aile Arabas? orjinal temiz bak?ml?,1996,299,K?rm?z?,"21 Ocak
                        2020",KayseriKocasinan,25.000 TL
1152,Corsa,1.7 DTI Comfort,Tertemiz Corsa 1.7,2003,176,Beyaz,"22 Ocak
                        2020",K?rklareliL�leburgaz,28.500 TL
1153,Escort,1.8 CLX,?kinci sahibinden eskort,1998,195,Gri,"21 Ocak
                        2020",?stanbulPendik,16.000 TL
1154,Ceed,1.6 CRDi Concept Plus,SAHIBINDEN TEMIZ AZ KM LI ARA�,2015,74.4,G�m�? Gri,"13 Ocak
                        2020",?stanbulBa?ak?ehir,116.000 TL
1155,Palio,1.4 EL,DEYISENSIZ PALIO,2000,200.2,Gri,"21 Ocak
                        2020",KastamonuMerkez,25.750 TL
1156,Uno,1.4 ie SX,Temiz Makul Fiyata 1997 Uno 70 Sx Lpg'li (SimitTank),1997,225,Mavi,"21 Ocak
                        2020",AntalyaKepez,13.900 TL
1157,Rio,1.4 CRDi Comfort,ILGIN GALER?DEN HATASIZ -BOYASIZ-HASAR KAYITSIZ- 2016 KIA,2016,111,G�m�? Gri,"18 Ocak
                        2020",KonyaIlg?n,76.000 TL
1158,Rio,1.4 GSL Trend,K?A R?O 1.4 TREND D?LARA HANIMA HAYIRLI OLSUN,2011,170,G�m�? Gri,"19 Ocak
                        2020",?stanbulSultanbeyli,41.500 TL
1159,Fiesta,1.4 TDCi Trend,A�IKLAMAYI OKUMADAN ARAMAYINIZ!!,2010,168,Beyaz,"21 Ocak
                        2020",Gaziantep?ehitkamil,38.750 TL
1160,1 Serisi,116d Joy,HATASIZ BOYASIZ D?ZEL YEN? KASA 1.16,2015,20,Beyaz,"22 Ocak
                        2020",?stanbulK���k�ekmece,188.500 TL
1161,Civic,1.6i VTEC Elegance,otomatik Honda civic elengaz 2010 mdl makyajl? kasa ful art? ful,2010,210,Beyaz,"21 Ocak
                        2020",Gaziantep?ahinbey,74.750 TL
1162,Vectra,2.0 GL,ORJ?NAL ARAYANLARA OPEL VECTRA 2.0 GL,1993,259,K?rm?z?,"21 Ocak
                        2020",SivasMerkez,21.250 TL
1163,C3,1.4 SX,AB?D?N BEY?N E??NE HAYIRLI OLSUN,2006,110,Gri,"20 Ocak
                        2020",MersinToroslar,51.750 TL
1164,Albea,1.4 Fire Active,Albea RSTY 1.4 fire 2006 model 2021 2.ayina kadar vizeli klimal?,2006,215,Gri,"21 Ocak
                        2020",Mu?laMente?e,32.000 TL
1165,Saxo,1.4 SX,Citroen Saxo,1999,186,Bordo,"20 Ocak
                        2020",U?akMerkez,20.000 TL
1166,Primera,1.6 Visia,Sahibinden masrafs?z temiz ara� Nissan Primera 1.6,2003,262,Bej,"13 Ocak
                        2020",DenizliMerkezefendi,35.000 TL
1167,Maxima,2.0 QX,DAHA ORJ?NAL? YOK (MAX?MA V6 24V 2.0),1997,199,Gri,"15 Ocak
                        2020",AmasyaMerzifon,41.500 TL
1168,Laurel Altima,2,1992 nissan laurel altima orjinal otomatik,1992,224,Ye?il,"15 Ocak
                        2020",?zmirBornova,19.000 TL
1169,Uno,70 S,acil sat?l?k uno 70 s,1996,69,G�m�? Gri,"21 Ocak
                        2020",AnkaraSincan,13.000 TL
1170,Marea,1.6 ELX,ZFA ?a?e Otomatik Mare Weekend,2001,245.15,Beyaz,"22 Ocak
                        2020",?zmirBuca,28.500 TL
1171,RX,RX-8,Sahibinden Temiz Rotary Kurallar?na Uygun Kullan?lm??,2011,66.5,K?rm?z?,"04 Ocak
                        2020",?stanbulPendik,88.500 TL
1172,A6,A6 Sedan 2.0 TDI Quattro,S�KMEN OTOMOT?V DEN SATILIK 2016 MODEL AUD? A6 DI? S L?NE HATASZ,2016,62,Beyaz,"21 Ocak
                        2020",?stanbulSultanbeyli,441.000 TL
1173,323,1.6 1.6i,OTOMAT?K V?TES MAZDA 3.23,1990,168,Beyaz,"13 Ocak
                        2020",Kahramanmara?Oniki?ubat,22.000 TL
1174,Accent Blue,1.6 CRDI Mode,YILDIZLAR OTOMAT?V DEN 2013 Hyundai Accent Blue 1.6 CRDI Mode,2013,152,Beyaz,"21 Ocak
                        2020",KilisMerkez,70.000 TL
1175,Xsara,1.6 SX,"TUNA,DAN 2000 MODEL Xsara 1.6 LPG L? MANUEL KL?MA",2000,259.258,Siyah,"20 Ocak
                        2020",KocaeliK�rfez,18.900 TL
1176,E Serisi,E 350 CDI Premium,Hastas?na E350 CDI 4 Matik MERCEDES,2012,215,Siyah,"20 Ocak
                        2020",?stanbulBa?c?lar,259.500 TL
1177,Micra,1.2 Mood,De?i?ensiz Nissan Micra 1.2 Mood - A�?k Mavi,2006,219,Mavi,"21 Ocak
                        2020",?stanbulBak?rk�y,32.500 TL
1178,Uno,70 S,Sahibinden temiz s?k?nt?s?z Aile arac?,1996,220,Lacivert,"22 Ocak
                        2020",Kahramanmara?Oniki?ubat,16.250 TL
1179,A3,A3 Hatchback 1.8,Temiz sunrooflu otomatik audi a3,1997,240.5,Beyaz,"21 Ocak
                        2020",?stanbul�sk�dar,37.500 TL
1180,C-Elys�e,1.2 VTi Exclusive,EXCLUS?VE OTOMAT?K,2014,115,Beyaz,"19 Ocak
                        2020",YalovaMerkez,58.000 TL
1181,Focus,1.5 TDCi Titanium,YEN? SAH?B?N? ARIYOR,2018,13.678,Beyaz,"22 Ocak
                        2020",�anakkaleMerkez,151.000 TL
1182,C3,1.4 HDi SX,SAH?B?NDEN AC?L SATILIK,2003,310,Siyah,"22 Ocak
                        2020",Mu?laBodrum,28.000 TL
1183,Elantra,1.6 GLS,aile arac?,2005,330,Beyaz,"20 Ocak
                        2020",KayseriMelikgazi,34.000 TL
1184,Accord,2.4 Executive,2.4 Executive LPGli Otomatik Vites,2003,278,Gri,"22 Ocak
                        2020",Kocaeli?zmit,57.500 TL
1185,A3,A3 Sedan 1.6 TDI,Metal2 Audi A3 Sedan Dynamic 1.6 TDI S Tronic - 2016,2016,122.515,Beyaz,"21 Ocak
                        2020",?stanbulAta?ehir,171.900 TL
1186,C5,1.6 HDi SX,YAZICILAR'DAN 2011 C5 1.6 HD? 110 BG 180 B?N KM,2011,186,Beyaz,"20 Ocak
                        2020",BursaOsmangazi,65.500 TL
1187,Civic,1.6i DTEC Elegance,HONDA PLAZA �AMKIRAN'DAN 2019 Civic 1.6 i-DTEC Elegance Otm,2019,11,Beyaz,"22 Ocak
                        2020",?zmirGaziemir,201.500 TL
1188,Civic,1.6i VTEC Elegance,al?c?s?na ?imdiden hay?rl? olsun gel g�r al git,2007,178,Gri,"22 Ocak
                        2020",OsmaniyeD�zi�i,70.000 TL
1189,Civic,1.6i VTEC Eco Elegance,BOYASIZ TRAMERS?Z 2019 ECO ELEGANCE FABR?KASYON LPG 5.700KM,2019,5.7,Beyaz,"22 Ocak
                        2020",AksarayMerkez,171.000 TL
1190,Primera,1.6 Tekna,JAPON G�ZEL?,2005,252,Siyah,"21 Ocak
                        2020",DenizliSarayk�y,38.750 TL
1191,Insignia,1.6 CDTI  Sport,2015 INSIGNIA 1.6 CDTI SPORT OPC HATASIZ TRAMERS?Z ORJ?NAL,2015,184,Beyaz,"21 Ocak
                        2020",AntalyaKepez,142.500 TL
1192,A5,A5 Sportback 2.0 TDI Quattro,Cok temiz �zel yap?m orijinal Sline,2013,155,Beyaz,"20 Ocak
                        2020",Diyarbak?rKayap?nar,182.000 TL
1193,Pro Ceed,1.6 CRDi Premium,WOWWO'DAN K?A PRO CEED,2014,137.141,Beyaz,"15 Ocak
                        2020",?stanbulEsenyurt,105.000 TL
1194,A4,A4 Sedan 1.9 TDI,*SEBA OTOMOT?V* DE???ENS?Z ORJ?NAL AUD? A4 1.9TD? MULT?TRON?C,2004,275,Bej,"20 Ocak
                        2020",Mu?laBodrum,69.000 TL
1195,Civic,1.6 VTEC ES,HONDA CIVIC 1.6 VTEC OTOMAT?K ORJ?NAL,2002,208.8,G�m�? Gri,"20 Ocak
                        2020",�orumMerkez,49.750 TL
1196,C4 Picasso,1.6 HDi SX PK,"�?RETMENDEN SATILIK TEM?Z ,A?LE ARACI",2010,180,Siyah,"20 Ocak
                        2020",ArtvinHopa,69.500 TL
1197,Focus,1.6 TDCi Trend X,ford focus,2014,74,Beyaz,"21 Ocak
                        2020",Diyarbak?rDicle,98.000 TL
1198,190,190 E 2.0,NAD?R KALANLARDAN... SPORTL?NE,1991,410,Bordo,"21 Ocak
                        2020",AnkaraEtimesgut,31.750 TL
1199,Civic,1.6i VTEC Eco Elegance,Boyas?z hatas?z bak?ml?,2014,71,Siyah,"22 Ocak
                        2020",GaziantepO?uzeli,127.900 TL
1200,A5,A5 Cabrio 2.0 TFSI Quattro,NASYONEL 2011 DO?U? CABRIO �ZEL RENK KAMERA DERI 8.526 KM'de,2011,8.526,Kahverengi,"20 Ocak
                        2020",?stanbulBe?ikta?,295.000 TL
1201,Carnival,2.9 TD Premium,OTOMAT?K V?TES K?A CARN?VAL,2001,245,Beyaz,"20 Ocak
                        2020",KayseriTalas,42.500 TL
1202,626,2,ara� sat??tad?r... Kapora yanm??t?r.,1998,226,Ye?il,"15 Ocak
                        2020",?stanbulEsenyurt,27.900 TL
1203,Civic,1.6i VTEC Eco Elegance,F?YAT D�?T� ESK? KASA F?YATINA...,2016,125,Siyah,"22 Ocak
                        2020",OsmaniyeMerkez,131.750 TL
1204,Civic,1.4 1.4i,2000 HONDA C?V?C 1.4 ?S BENZ?N LPG OTOMAT?K BAKIMLI,2000,269,?ampanya,"21 Ocak
                        2020",?zmir�demi?,32.750 TL
1205,C5,1.6 e-HDi  Confort,KUZEY OTOMOT?V DEN FIRSAT ARACI,2012,184,Beyaz,"18 Ocak
                        2020",Bursa?znik,56.500 TL
1206,A6,A6 Sedan 2.8,Acil sat?l?k,2000,343,Siyah,"21 Ocak
                        2020",SamsunAtakum,35.500 TL
1207,i30,1.6 CRDi Elite,Hyundai i30 d�?�k km cam tavan,2012,60,K?rm?z?,"21 Ocak
                        2020",AksarayMerkez,118.000 TL
1208,323,1.6 GLX,323 Mazda 92 model,1992,425,F�me,"16 Ocak
                        2020",KonyaMeram,14.500 TL
1209,3 Serisi,320d Techno Plus,SUNROOF DER? M SPORT G�R�NUM 157.000 KM FUUL BAKIMLI �OK TMZ ORJ,2013,157,Beyaz,"14 Ocak
                        2020",AdanaSeyhan,156.000 TL
1210,A4,A4 Sedan 2.0 TDI,SAH?B?NDEN A4 2.0 TD? MULT?MED?A,2011,226,Gri,"21 Ocak
                        2020",AnkaraYenimahalle,116.750 TL
1211,A6,A6 Sedan 2.0 TDI Quattro Sport,SAH?B?NDEN A6 S L?NE QUATTRO HATASIZ BOYASIZ BAY? �IKI?LI,2019,1.03,Mavi,"20 Ocak
                        2020",?stanbul?i?li,815.900 TL
1212,Civic,1.6 i ES,Honda 1.6 i es g�venlik paket,1999,265,G�m�? Gri,"20 Ocak
                        2020",YozgatYerk�y,37.500 TL
1213,Astra,1.3 CDTI Sport,D�?�K KM HATASIZ BOYASIZ!!!,2013,119,Beyaz,"22 Ocak
                        2020",AntalyaKepez,94.000 TL
1214,1 Serisi,116i Standart,2007 �ZEL PLAKA MASRAFSIZ ARA� �L�C�LER ARAMASIN,2007,339,Siyah,"20 Ocak
                        2020",?anl?urfaEyy�biye,59.000 TL
1215,A5,A5 Sportback 2.0 TDI Quattro,BAY? �IKI?LI YETK?L? SERV?S BAKIMLI ORJ KM S?TEN?N EN MANTIKLISI,2014,127,Beyaz,"22 Ocak
                        2020",?zmirBornova,237.000 TL
1216,Lantis,1.8,HASTASINA TEM?Z MAZDA LANT?S,1996,311,Ye?il,"13 Ocak
                        2020",?stanbulAta?ehir,21.000 TL
1217,323,1.6 Familia,2004 Model Mazda 323 HB,2003,118,?ampanya,"24 Aral?k
                        2019",Ankara�ankaya,47.500 TL
1218,Focus,1.6 TDCi Trend,DE???ENS?Z BOYASIZ LOKAL BOYASIZ HASAR KAYITSIZ,2012,181,Gri,"21 Ocak
                        2020",?zmirMenderes,81.000 TL
1219,Astra,1.3 CDTI Essentia Konfor,YA?AR'DAN 2011 OPEL ASTRA 1.3CDTI ESSENT?A KONFOR PAKET OTOMAT?K,2011,200,Beyaz,"21 Ocak
                        2020",Gaziantep?ehitkamil,55.000 TL
1220,Escort,1.6 CL,i�i d??? p?r?l p?r?l escort,1997,185,G�m�? Gri,"21 Ocak
                        2020",BursaGemlik,22.000 TL
1221,Accent Era,1.5 CRDi Start,Model Y�kseltece?im ?�in Sat?yorum,2010,192.5,G�m�? Gri,"20 Ocak
                        2020",AntalyaSerik,50.500 TL
1222,C Serisi,C 180 BlueEfficiency Fascination,?LK SAH?B?NDEN OR?NAL,2013,134,Beyaz,"21 Ocak
                        2020",MersinMezitli,164.000 TL
1223,E Serisi,E 180 Exclusive,kaza yok boya yok i� �zel renk,2018,40,Siyah,"21 Ocak
                        2020",?stanbulKad?k�y,425.000 TL
1224,Accent,1.3 LX,135.000 km accent,2000,135,G�m�? Gri,"22 Ocak
                        2020",?stanbulBa?c?lar,20.500 TL
1225,E Serisi,E 200 Komp. Avantgarde,SAH?B?NDEN E 200 KOMPRESSOR AVANGARDE FULL,2005,330,G�m�? Gri,"21 Ocak
                        2020",SakaryaErenler,116.750 TL
1226,Almera,1.5 Tekna,SATTTIMM KA�IRDINIZ ?SMA?L BEY E VE A?LES?NE HAYIRLI OLSUN,2007,217.57,Kahverengi,"13 Ocak
                        2020",?stanbulBa?c?lar,31.999 TL
1227,5 Serisi,520d Comfort,2012 5.20D SATILIK TEM?Z BAKIMLI PREM?UM ?LK ELDEN,2012,249,Beyaz,"20 Ocak
                        2020",Eski?ehirTepeba??,179.000 TL
1228,Civic,1.6i VTEC Dream,Akademisyenden 75.000 km'de,2007,74.461,G�m�? Gri,"22 Ocak
                        2020",?zmir�i?li,69.500 TL
1229,Jazz,1.4 ES,Temiz Honda Jazz Tramersiz,2004,163.6,K?rm?z?,"21 Ocak
                        2020",�ank?r?Merkez,64.999 TL
1230,1 Serisi,116i Standart,AKSOY AUTODAN HATASIZ BOYASIZ 1.16?,2012,111,Siyah,"21 Ocak
                        2020",TokatMerkez,125.000 TL
1231,B Serisi,B 180 CDI 180 CDI,Otomatik dizel,2006,260,Bordo,"22 Ocak
                        2020",SamsunBafra,75.750 TL
1232,3,1.6 Impressive,82 B?NDE TEM?Z OTOMAT?K MAZDA 3,2010,82,Beyaz,"10 Ocak
                        2020",ErzincanMerkez,90.500 TL
1233,A5,A5 Coupe 2.0 TFSI Quattro,Temiz bak?ml?,2011,195,Beyaz,"19 Ocak
                        2020",?stanbulK���k�ekmece,115.000 TL
1234,i10,1.1 Select,2010 MODEL HYUNDA? ?10 105000 KM MANUEL,2010,105,Mavi,"15 Ocak
                        2020",DenizliSarayk�y,38.250 TL
1235,Brava,1.6 SX,2001 MODEL F?AT BRAVA 1.6 SX BENZ?N+LPG 152 B?N KM DE,2001,153,Gri,"21 Ocak
                        2020",MersinYeni?ehir,26.500 TL
1236,Corsa,1.4 Design,HATASIZ BOYASIZ HASAR KAYITSIZ FUL ORJ?NAL OTOMAT?K A?LE ARABASI,2017,39,Beyaz,"22 Ocak
                        2020",?stanbulPendik,93.900 TL
1237,C3,1.4 HDi X,Bayan kullan?c?dan temiz citroen c3 masrafs?z,2004,246,Beyaz,"22 Ocak
                        2020",AdanaSeyhan,31.750 TL
1238,Getz,1.4 DOHC Start,AC?L-2010 GETZ-86.000 KM-BAKIMLI,2010,86.5,Mavi,"21 Ocak
                        2020",KonyaMeram,52.000 TL
1239,A3,A3 Sedan 1.6 TDI,ARESCEM DEN 2015 AUD? A3 SEDAN 1.6TD? AMB?T?ON orj 88000 kmde,2015,88,Beyaz,"20 Ocak
                        2020",AnkaraAkyurt,136.000 TL
1240,5 Serisi,520i Standart,-AKDEN?Z-1998 BMW 520 ? OTOMAT?K LPGL? MASRAFSIZ,1998,222.5,G�m�? Gri,"21 Ocak
                        2020",MersinYeni?ehir,43.500 TL
1241,Palio,1.4 EL,2001 palio,2001,192,F�me,"22 Ocak
                        2020",�anakkaleBiga,25.000 TL
1242,E Serisi,E 180 Elite,2014 MODEL MERCEDES E 180 Elite Otomatik-38.000 KMDE-HATASIZ-,2014,38,Beyaz,"21 Ocak
                        2020",Gaziantep?ehitkamil,268.000 TL
1243,6,1.8,2019 EK?M G�MR�K �IKI?LI MAZDA 6,2003,305,G�m�? Gri,"08 Ocak
                        2020",?zmirKaraba?lar,45.000 TL
1244,Egea,1.6 E-Torq Lounge Plus,TOFA? �ALI?ANINDAN EN FULL EGEA HB,2017,20.5,Bej,"21 Ocak
                        2020",?stanbul?i?li,118.500 TL
1245,Almera,1.5 Tekna,SAH?B?NDEN TEM?Z ALMERA MASRAFSIZ,2004,154,Beyaz,"20 Ocak
                        2020",AntalyaKepez,35.000 TL
1246,323,1.5 1.5i,sat?? bir m�ddet durdu 1.5 dohc motor kl?mal? lpg orj,1998,232,Mavi,"31 Aral?k
                        2019",?stanbulAta?ehir,24.500 TL
1247,Civic,1.6 VTEC ES,2005 model otomatik VTEC ES,2005,140.7,G�m�? Gri,"22 Ocak
                        2020",AnkaraKe�i�ren,74.750 TL
